metric,mem_percent,k,f1_macro_val,precision_macro_val,recall_macro_val,n_mem
euclidean,0.15000000000000002,11,0.6178517068928028,0.7813206693803709,0.5932953352332384,492
euclidean,0.15000000000000002,13,0.5848301836334462,0.7398700501381357,0.57032398380081,492
euclidean,0.15000000000000002,15,0.5685618341824918,0.7540281329923273,0.55959202039898,492
euclidean,0.15000000000000002,17,0.5580601706331387,0.788118410381184,0.5532848357582121,492
euclidean,0.15000000000000002,19,0.5444664514866979,0.7925387596899225,0.5452827358632069,492
euclidean,0.15000000000000002,21,0.5455664797177914,0.8188368235538046,0.5461301934903254,492
euclidean,0.15000000000000002,23,0.5369106031409874,0.7823968484345842,0.5408579571021449,492
euclidean,0.15000000000000002,25,0.5144320032444284,0.7735209235209235,0.5284310784460777,492
euclidean,0.15000000000000002,27,0.4988983929497149,0.7795566502463054,0.5204289785510725,492
euclidean,0.15000000000000002,29,0.49119644173070853,0.821919770773639,0.5168516574171291,492
euclidean,0.15000000000000002,31,0.4919071963292289,0.9220314735336195,0.5176991150442478,492
euclidean,0.15000000000000002,33,0.47440137406122657,0.920827389443652,0.5088495575221239,492
euclidean,0.15000000000000002,35,0.47440137406122657,0.920827389443652,0.5088495575221239,492
euclidean,0.15000000000000002,37,0.4825843925921506,0.7963161659513591,0.5124268786560672,492
euclidean,0.15000000000000002,39,0.48322641005078854,0.9214285714285715,0.5132743362831859,492
euclidean,0.15000000000000002,41,0.4654282765737874,0.9202279202279202,0.504424778761062,492
euclidean,0.15000000000000002,43,0.4654282765737874,0.9202279202279202,0.504424778761062,492
euclidean,0.15000000000000002,45,0.4654282765737874,0.9202279202279202,0.504424778761062,492
euclidean,0.15000000000000002,47,0.4563031709203403,0.41963015647226176,0.5,492
euclidean,0.15000000000000002,49,0.4563031709203403,0.41963015647226176,0.5,492
euclidean,0.15000000000000002,51,0.4563031709203403,0.41963015647226176,0.5,492
manhattan,0.15000000000000002,1,0.7195851615476665,0.7387939768717465,0.7050397480125994,492
manhattan,0.15000000000000002,3,0.7255267533219567,0.7802066772655007,0.6956277186140694,492
manhattan,0.15000000000000002,5,0.738232819848023,0.8241392801251957,0.6988300584970751,492
manhattan,0.15000000000000002,7,0.6791321811100293,0.8177473826409997,0.6411204439778011,492
manhattan,0.15000000000000002,9,0.6718497157794283,0.8290656547048854,0.6339658017099146,492
manhattan,0.15000000000000002,11,0.6315453901973815,0.8018772531434099,0.6029923503824809,492
manhattan,0.15000000000000002,13,0.6192281651997291,0.8400997150997151,0.5931078446077697,492
manhattan,0.15000000000000002,15,0.5958063456303389,0.8589233347297863,0.5771036448177591,492
manhattan,0.15000000000000002,17,0.5748959736566382,0.8451338199513383,0.5638293085345732,492
manhattan,0.15000000000000002,19,0.576199662406559,0.8697478991596639,0.5646767661616919,492
manhattan,0.15000000000000002,21,0.5322510122996787,0.8749639249639249,0.5389755512224389,492
manhattan,0.15000000000000002,23,0.5233415077720536,0.8242424242424242,0.5337033148342583,492
manhattan,0.15000000000000002,25,0.5411605168273039,0.9256854256854257,0.5442477876106194,492
